Speaker,Play,Sex,Lines
ALL FAIRIES,A MIDSUMMER NIGHT'S DREAM,Male,1
ALL MECHANICALS,A MIDSUMMER NIGHT'S DREAM,Male,1
BOTTOM,A MIDSUMMER NIGHT'S DREAM,Male,255
CHORUS,A MIDSUMMER NIGHT'S DREAM,Male,14
COBWEB,A MIDSUMMER NIGHT'S DREAM,Male,4
DEMETRIUS,A MIDSUMMER NIGHT'S DREAM,Male,136
EGEUS,A MIDSUMMER NIGHT'S DREAM,Male,41
FAIRY,A MIDSUMMER NIGHT'S DREAM,Male,28
FIRST FAIRY,A MIDSUMMER NIGHT'S DREAM,Male,8
FLUTE,A MIDSUMMER NIGHT'S DREAM,Male,57
HELENA,A MIDSUMMER NIGHT'S DREAM,Female,230
HERMIA,A MIDSUMMER NIGHT'S DREAM,Female,164
HIPPOLYTA,A MIDSUMMER NIGHT'S DREAM,Female,35
LYSANDER,A MIDSUMMER NIGHT'S DREAM,Male,179
MOTH,A MIDSUMMER NIGHT'S DREAM,Male,2
MUSTARDSEED,A MIDSUMMER NIGHT'S DREAM,Male,5
OBERON,A MIDSUMMER NIGHT'S DREAM,Male,225
PEASEBLOSSOM,A MIDSUMMER NIGHT'S DREAM,Male,4
PHILOSTRATE,A MIDSUMMER NIGHT'S DREAM,Male,24
PUCK,A MIDSUMMER NIGHT'S DREAM,Male,206
QUINCE,A MIDSUMMER NIGHT'S DREAM,Male,121
SECOND FAIRY,A MIDSUMMER NIGHT'S DREAM,Male,2
SNOUT,A MIDSUMMER NIGHT'S DREAM,Male,22
SNUG,A MIDSUMMER NIGHT'S DREAM,Male,14
STARVELING,A MIDSUMMER NIGHT'S DREAM,Male,11
THESEUS,A MIDSUMMER NIGHT'S DREAM,Male,235
TITANIA,A MIDSUMMER NIGHT'S DREAM,Female,141
ALL SOLDIERS,Alls Well That Ends Well,Male,1
ALL THE LORDS,Alls Well That Ends Well,Male,1
ATTENDANT,Alls Well That Ends Well,Male,1
BERTRAM,Alls Well That Ends Well,Male,277
BOTH LORDS,Alls Well That Ends Well,Male,1
CLOWN,Alls Well That Ends Well,Male,195
COUNTESS,Alls Well That Ends Well,Female,291
DIANA,Alls Well That Ends Well,Female,138
DUKE,Alls Well That Ends Well,Male,19
FIRST LORD,Alls Well That Ends Well,Male,173
FIRST SOLDIER,Alls Well That Ends Well,Male,82
FOURTH LORD,Alls Well That Ends Well,Male,1
GENTLEMAN,Alls Well That Ends Well,Male,21
HELENA,Alls Well That Ends Well,Female,478
KING,Alls Well That Ends Well,Male,380
LAFEU,Alls Well That Ends Well,Male,276
MARIANA,Alls Well That Ends Well,Female,20
MESSENGER,Alls Well That Ends Well,Male,4
PAGE,Alls Well That Ends Well,Male,1
PAROLLES,Alls Well That Ends Well,Male,373
SECOND LORD,Alls Well That Ends Well,Male,119
SECOND SOLDIER,Alls Well That Ends Well,Male,2
STEWARD,Alls Well That Ends Well,Male,42
WIDOW,Alls Well That Ends Well,Female,64
WIDOW and MARIANA,Alls Well That Ends Well,Female,1
ADAM,As You Like It,Male,65
ALL TOGETHER,As You Like It,Male,8
AMIENS,As You Like It,Male,42
AUDREY,As You Like It,Female,20
CELIA,As You Like It,Female,282
CHARLES,As You Like It,Male,40
CORIN,As You Like It,Male,71
DENNIS,As You Like It,Male,3
DUKE,As You Like It,Male,109
DUKE FREDERICK,As You Like It,Male,68
FIRST LORD,As You Like It,Male,42
FIRST LORD TO FREDERICK,As You Like It,Male,4
FIRST PAGE,As You Like It,Male,6
HYMEN,As You Like It,Male,31
JAQUES,As You Like It,Male,221
JAQUES DE BOYS,As You Like It,Male,17
LE BEAU,As You Like It,Male,48
LORD,As You Like It,Male,2
LORDS,As You Like It,Male,11
OLIVER,As You Like It,Male,148
ORLANDO,As You Like It,Male,301
PAGES,As You Like It,Male,25
PHEBE,As You Like It,Female,86
ROSALIND,As You Like It,Female,685
SECOND LORD,As You Like It,Male,2
SECOND LORD TO FREDERICK,As You Like It,Male,9
SECOND PAGE,As You Like It,Male,3
SILVIUS,As You Like It,Male,75
SIR OLIVER,As You Like It,Male,5
TOUCHSTONE,As You Like It,Male,283
WILLIAM,As You Like It,Male,11
ALL,Cymbeline,Male,1
ARVIRAGUS,Cymbeline,Male,138
ATTENDANT,Cymbeline,Male,3
BELARIUS,Cymbeline,Male,336
BOTH,Cymbeline,Male,4
BROTHERS,Cymbeline,Male,2
CLOTEN,Cymbeline,Male,260
CLOTEN and LORDS,Cymbeline,Male,1
CORNELIUS,Cymbeline,Male,73
CYMBELINE,Cymbeline,Male,290
FIRST BROTHER,Cymbeline,Male,12
FIRST CAPTAIN,Cymbeline,Male,4
FIRST GAOLER,Cymbeline,Male,45
FIRST GENTLEMAN,Cymbeline,Male,66
FIRST LADY,Cymbeline,Female,1
FIRST LORD,Cymbeline,Male,42
FIRST SENATOR,Cymbeline,Male,15
FIRST TRIBUNE,Cymbeline,Male,3
FRENCHMAN,Cymbeline,Male,22
GUIDERIUS,Cymbeline,Male,164
GUIDERIUS and ARVIRAGUS,Cymbeline,Male,1
IACHIMO,Cymbeline,Male,430
INNOGEN,Cymbeline,Female,594
JUPITER,Cymbeline,Male,21
LADIES,Cymbeline,Female,1
LORD,Cymbeline,Male,7
LUCIUS,Cymbeline,Male,104
MESSENGER,Cymbeline,Male,4
MOTHER,Cymbeline,Female,12
PHILARIO,Cymbeline,Male,43
PISANIO,Cymbeline,Male,217
POSTHUMUS,Cymbeline,Male,442
QUEEN,Cymbeline,Female,168
QUEEN'S LADY,Cymbeline,Female,13
ROMAN CAPTAIN,Cymbeline,Male,11
SECOND BROTHER,Cymbeline,Male,6
SECOND CAPTAIN,Cymbeline,Male,6
SECOND GAOLER,Cymbeline,Male,1
SECOND GENTLEMAN,Cymbeline,Male,13
SECOND LORD,Cymbeline,Male,46
SECOND SENATOR,Cymbeline,Male,1
SICILIUS,Cymbeline,Male,40
SINGER,Cymbeline,Male,7
SOOTHSAYER,Cymbeline,Male,43
ABERGAVENNY,KING HENRY THE EIGHTH,Male,18
ALL,KING HENRY THE EIGHTH,Male,1
ANNE,KING HENRY THE EIGHTH,Female,58
BRANDON,KING HENRY THE EIGHTH,Male,14
BUCKINGHAM,KING HENRY THE EIGHTH,Male,192
BUTTS,KING HENRY THE EIGHTH,Male,9
CAMPEIUS,KING HENRY THE EIGHTH,Male,53
CAPUCIUS,KING HENRY THE EIGHTH,Male,11
CRANMER,KING HENRY THE EIGHTH,Male,135
CRIER,KING HENRY THE EIGHTH,Male,3
CROMWELL,KING HENRY THE EIGHTH,Male,49
DENNY,KING HENRY THE EIGHTH,Male,4
FIRST GENTLEMAN,KING HENRY THE EIGHTH,Male,107
GARDINER,KING HENRY THE EIGHTH,Male,91
GARTER,KING HENRY THE EIGHTH,Male,3
GENTLEMAN,KING HENRY THE EIGHTH,Male,4
GENTLEWOMAN,KING HENRY THE EIGHTH,Female,12
GRIFFITH,KING HENRY THE EIGHTH,Male,59
GUILFORD,KING HENRY THE EIGHTH,Male,10
KATHARINE,KING HENRY THE EIGHTH,Female,115
KEEPER,KING HENRY THE EIGHTH,Male,8
KING HENRY,KING HENRY THE EIGHTH,Male,459
LINCOLN,KING HENRY THE EIGHTH,Male,8
LORD CHAMBERLAIN,KING HENRY THE EIGHTH,Male,150
LORD CHANCELLOR,KING HENRY THE EIGHTH,Male,32
LOVELL,KING HENRY THE EIGHTH,Male,68
MAN,KING HENRY THE EIGHTH,Male,38
MESSENGER,KING HENRY THE EIGHTH,Male,4
NORFOLK,KING HENRY THE EIGHTH,Male,211
OLD LADY,KING HENRY THE EIGHTH,Female,68
PAGE,KING HENRY THE EIGHTH,Male,1
PATIENCE,KING HENRY THE EIGHTH,Female,6
PORTER,KING HENRY THE EIGHTH,Male,34
QUEEN KATHARINE,KING HENRY THE EIGHTH,Female,261
SANDYS,KING HENRY THE EIGHTH,Male,48
SCRIBE,KING HENRY THE EIGHTH,Male,4
SECOND and THIRD GENTLEMEN,KING HENRY THE EIGHTH,Male,1
SECOND GENTLEMAN,KING HENRY THE EIGHTH,Male,87
SECRETARY,KING HENRY THE EIGHTH,Male,2
SERGEANT,KING HENRY THE EIGHTH,Male,5
SERVANT,KING HENRY THE EIGHTH,Male,7
SPEAKER,KING HENRY THE EIGHTH,Male,46
SUFFOLK,KING HENRY THE EIGHTH,Male,93
SURREY,KING HENRY THE EIGHTH,Male,81
