"results","model"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.928384,"wordcount"
0.928384,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.929258,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.929258,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
0.927511,"wordcount"
0.928384,"wordcount"
